ti_uid,target,indication_mesh_term,combined_max_phase,succ_3_a,year_launch,areas,assoc_source
SERPING1-D054179,SERPING1,"Angioedemas, Hereditary",Launched,TRUE,,"cardiovascular, congenital, dermatology, immune",OMIM
SLC22A12-D006073,SLC22A12,Gout,Launched,TRUE,,"musculoskeletal, congenital, metabolic",OTG
SLC6A3-D009290,SLC6A3,Narcolepsy,Launched,TRUE,2021,"neurology, psychiatry",OTG
SLC6A4-D009765,SLC6A4,Obesity,Phase III,FALSE,,"metabolic, signs/symptoms",OTG
SMN1-D009134,SMN1,"Muscular Atrophy, Spinal",Launched,TRUE,2020,neurology,OMIM
SOD1-D000690,SOD1,Amyotrophic Lateral Sclerosis,Launched,TRUE,,"neurology, metabolic",OMIM
SYK-D016553,SYK,"Purpura, Thrombocytopenic, Idiopathic",Launched,TRUE,,"hematology, immune, signs/symptoms",OTG
TGFB1-D010003,TGFB1,Osteoarthritis,Launched,TRUE,,musculoskeletal,OTG
TPP1-D009472,TPP1,Neuronal Ceroid-Lipofuscinoses,Launched,TRUE,2017,"neurology, congenital, metabolic",OMIM
TSHR-D007037,TSHR,Hypothyroidism,Launched,TRUE,2021,endocrine,OMIM
TSLP-D001249,TSLP,Asthma,Launched,TRUE,,"respiratory, immune",OTG
TTR-D028227,TTR,"Amyloid Neuropathies, Familial",Launched,TRUE,2020,"neurology, congenital, metabolic",OMIM
TYK2-D011565,TYK2,Psoriasis,Launched,TRUE,,dermatology,OTG
VDR-D014808,VDR,Vitamin D Deficiency,Launched,TRUE,,metabolic,OMIM
VEGFA-D008269,VEGFA,Macular Edema,Launched,TRUE,,ophthalmology,OTG
VEGFA-D009216,VEGFA,Myopia,Launched,TRUE,2022,ophthalmology,OTG
VWF-D006467,VWF,Hemophilia A,Launched,TRUE,,"hematology, congenital",OTG
VWF-D014842,VWF,von Willebrand Diseases,Launched,TRUE,,"hematology, congenital",OTG
